country,value
Afghanistan,14261.2
Albania,13262.6
Algeria,154163.6
Antigua and Barbuda,1103.1
Argentina,226674.8
Armenia,10052.5
Aruba,2423.8
Australia,758069.7
Bahrain,53489.7
Barbados,3998.6
Belarus,95943.4
Belgium,1450990.5
Belize,2226.9
Benin,5903.3
Bermuda,1844.7
Bosnia Herzegovina,27006.0
Botswana,25838.5
Brazil,576845.1
Bulgaria,98991.4
Cabo Verde,1318.4
Cambodia,41969.6
Canada,1350598.7
Chile,209388.9
China,5224297.6
"China, Hong Kong SAR",1381315.2
"China, Macao SAR",18063.0
Colombia,129100.5
Costa Rica,38233.2
Croatia,55864.9
Cyprus,14519.0
Czech Rep.,394338.1
Denmark,274102.6
Dominican Rep.,40920.7
Ecuador,57472.4
Egypt,127029.7
El Salvador,22697.8
Estonia,44807.7
Ethiopia,30324.7
Fiji,4994.7
Finland,172171.8
France,1552606.3
Georgia,14366.1
Germany,3279647.2
Ghana,34698.2
Greece,123952.5
Greenland,1691.1
Guyana,5006.5
Hungary,245803.7
Iceland,14350.9
India,947869.2
Indonesia,413073.3
Iraq,87547.9
Ireland,304824.3
Israel,182427.4
Italy,1162047.8
Jamaica,8703.2
Japan,1625101.7
Jordan,39044.0
Kazakhstan,97817.4
Kyrgyzstan,7939.5
Lao People's Dem. Rep.,10093.0
Latvia,34148.4
Lithuania,72855.5
Luxembourg,40109.3
Madagascar,7889.2
Malaysia,440295.3
Maldives,2993.2
Mali,8940.2
Malta,18368.9
Mauritania,5846.9
Mauritius,9447.2
Mexico,886269.3
Mongolia,11389.5
Montenegro,3250.2
Morocco,77435.1
Myanmar,32996.7
Namibia,14573.2
Netherlands,973263.0
New Zealand,92830.0
Niger,4062.6
Norway,185482.1
Oman,57903.1
"Other Asia, nes",548041.5
Pakistan,75339.6
Palau,193.6
Panama,22062.2
Paraguay,21816.2
Peru,93301.9
Philippines,159726.1
Poland,432944.3
Portugal,139226.4
Qatar,105744.4
Rep. of Korea,990379.8
Rep. of Moldova,7305.4
Romania,157631.7
Russian Federation,558935.7
Rwanda,2811.3
Samoa,439.3
Sao Tome and Principe,195.9
Senegal,9686.5
Serbia,41561.2
Seychelles,2835.4
Sierra Leone,1624.8
Singapore,662905.1
Slovakia,159602.5
Solomon Isds,988.4
South Africa,175043.5
Spain,640148.8
Sri Lanka,33613.0
Suriname,3514.6
Sweden,310131.1
Switzerland,600242.2
TFYR of Macedonia,12522.1
Togo,2709.3
Tunisia,36318.0
Turkey,385494.4
United Arab Emirates,828340.0
United Kingdom,1168181.3
United Rep. of Tanzania,14228.7
Uruguay,16659.8
USA,4173521.2
Zimbabwe,10198.6
